doc,case_id,judge,replicate,verdict,mapped_faithful,confidence,n_unsupported,n_contradiction,n_relational,insufficient
attention,15,kimi,2,unsupported,0,1.0000,1,1,1,0
ddia,16,kimi,2,supported,1,0.9500,0,0,0,0
attention,17,kimi,2,supported,1,1.0000,0,0,0,0
product_analytics,18,kimi,2,unsupported,0,1.0000,2,2,2,0
ddia,19,kimi,2,supported,1,1.0000,0,0,0,0
attention,20,kimi,2,partially_supported,0,0.9000,2,0,0,0
ddia,21,kimi,2,supported,1,1.0000,0,0,0,0
ddia,22,kimi,2,unsupported,0,1.0000,1,0,0,0
attention,23,kimi,2,unsupported,0,1.0000,1,0,0,0
attention,24,kimi,2,supported,1,1.0000,0,0,0,0
ddia,1,kimi,3,supported,1,1.0000,0,0,0,0
ddia,2,kimi,3,supported,1,1.0000,0,0,0,0
attention,3,kimi,3,supported,1,1.0000,0,0,0,0
attention,4,kimi,3,supported,1,1.0000,0,0,0,0
product_analytics,5,kimi,3,supported,1,1.0000,0,0,0,0
product_analytics,6,kimi,3,supported,1,1.0000,0,0,0,0
ddia,7,kimi,3,partially_supported,0,0.9500,1,0,0,0
ddia,8,kimi,3,partially_supported,0,0.9500,1,0,0,0
attention,9,kimi,3,partially_supported,0,0.9500,1,0,0,0
attention,10,kimi,3,partially_supported,0,0.9500,1,0,0,0
product_analytics,11,kimi,3,partially_supported,0,0.9500,1,0,0,0
product_analytics,12,kimi,3,partially_supported,0,0.9500,1,0,0,0
ddia,13,kimi,3,partially_supported,0,0.9000,1,0,1,0
attention,14,kimi,3,partially_supported,0,0.9500,1,0,1,0
attention,15,kimi,3,unsupported,0,1.0000,1,1,1,0
ddia,16,kimi,3,supported,1,1.0000,0,0,0,0
attention,17,kimi,3,supported,1,1.0000,0,0,0,0
product_analytics,18,kimi,3,unsupported,0,1.0000,2,2,2,0
ddia,19,kimi,3,supported,1,1.0000,0,0,0,0
attention,20,kimi,3,partially_supported,0,0.8500,2,0,0,0
ddia,21,kimi,3,supported,1,1.0000,0,0,0,0
ddia,22,kimi,3,unsupported,0,1.0000,1,0,0,0
attention,23,kimi,3,unsupported,0,1.0000,1,0,0,0
attention,24,kimi,3,supported,1,1.0000,0,0,0,0
ddia,1,openai,1,supported,1,1.0000,0,0,0,0
ddia,2,openai,1,supported,1,1.0000,0,0,0,0
attention,3,openai,1,supported,1,1.0000,0,0,0,0
attention,4,openai,1,supported,1,1.0000,0,0,0,0
product_analytics,5,openai,1,supported,1,1.0000,0,0,0,0
product_analytics,6,openai,1,supported,1,1.0000,0,0,0,0
ddia,7,openai,1,partially_supported,0,0.8000,1,0,0,0
ddia,8,openai,1,partially_supported,0,0.8000,1,0,0,0
attention,9,openai,1,supported,1,1.0000,0,0,0,0
attention,10,openai,1,supported,1,1.0000,0,0,0,0
product_analytics,11,openai,1,supported,1,1.0000,0,0,0,0
product_analytics,12,openai,1,supported,1,1.0000,0,0,0,0
ddia,13,openai,1,supported,1,1.0000,0,0,0,0
attention,14,openai,1,unsupported,0,0.9000,1,0,0,0
attention,15,openai,1,partially_supported,0,0.8000,1,0,0,0
ddia,16,openai,1,supported,1,1.0000,0,0,0,0
attention,17,openai,1,supported,1,1.0000,0,0,0,0
product_analytics,18,openai,1,unsupported,0,0.9000,1,0,1,0
ddia,19,openai,1,supported,1,1.0000,0,0,0,0
attention,20,openai,1,supported,1,1.0000,0,0,0,0
ddia,21,openai,1,supported,1,1.0000,0,0,0,0
ddia,22,openai,1,unsupported,0,0.9000,1,0,0,0
attention,23,openai,1,unsupported,0,0.9000,1,0,0,0
attention,24,openai,1,supported,1,1.0000,0,0,0,0
ddia,1,openai,2,supported,1,1.0000,0,0,0,0
ddia,2,openai,2,supported,1,1.0000,0,0,0,0
attention,3,openai,2,supported,1,1.0000,0,0,0,0
attention,4,openai,2,supported,1,1.0000,0,0,0,0
product_analytics,5,openai,2,supported,1,1.0000,0,0,0,0
product_analytics,6,openai,2,supported,1,1.0000,0,0,0,0
ddia,7,openai,2,partially_supported,0,0.8000,1,0,0,0
ddia,8,openai,2,partially_supported,0,0.8000,1,0,0,0
attention,9,openai,2,supported,1,1.0000,0,0,0,0
attention,10,openai,2,supported,1,1.0000,0,0,0,0
product_analytics,11,openai,2,supported,1,1.0000,0,0,0,0
product_analytics,12,openai,2,supported,1,1.0000,0,0,0,0
ddia,13,openai,2,supported,1,1.0000,0,0,0,0
attention,14,openai,2,unsupported,0,0.9000,1,0,0,0
attention,15,openai,2,partially_supported,0,0.9000,1,0,0,0
ddia,16,openai,2,supported,1,1.0000,0,0,0,0
attention,17,openai,2,supported,1,1.0000,0,0,0,0
product_analytics,18,openai,2,unsupported,0,0.9000,1,0,1,0
ddia,19,openai,2,supported,1,1.0000,0,0,0,0
attention,20,openai,2,supported,1,1.0000,0,0,0,0
ddia,21,openai,2,supported,1,1.0000,0,0,0,0
ddia,22,openai,2,unsupported,0,0.9000,1,0,0,0
attention,23,openai,2,unsupported,0,0.9000,1,0,0,0
attention,24,openai,2,supported,1,1.0000,0,0,0,0
ddia,1,openai,3,supported,1,1.0000,0,0,0,0
ddia,2,openai,3,supported,1,1.0000,0,0,0,0
attention,3,openai,3,supported,1,1.0000,0,0,0,0
attention,4,openai,3,supported,1,1.0000,0,0,0,0
product_analytics,5,openai,3,supported,1,1.0000,0,0,0,0
product_analytics,6,openai,3,supported,1,1.0000,0,0,0,0
ddia,7,openai,3,partially_supported,0,0.8000,1,0,0,0
ddia,8,openai,3,partially_supported,0,0.8000,1,0,0,0
attention,9,openai,3,supported,1,1.0000,0,0,0,0
attention,10,openai,3,supported,1,1.0000,0,0,0,0
product_analytics,11,openai,3,supported,1,1.0000,0,0,0,0
product_analytics,12,openai,3,supported,1,1.0000,0,0,0,0
ddia,13,openai,3,supported,1,1.0000,0,0,0,0
attention,14,openai,3,unsupported,0,0.9000,1,0,0,0
attention,15,openai,3,partially_supported,0,0.9000,1,0,0,0
ddia,16,openai,3,supported,1,1.0000,0,0,0,0
attention,17,openai,3,supported,1,1.0000,0,0,0,0
product_analytics,18,openai,3,unsupported,0,0.9000,1,0,1,0
ddia,19,openai,3,supported,1,1.0000,0,0,0,0
attention,20,openai,3,supported,1,1.0000,0,0,0,0
ddia,21,openai,3,supported,1,1.0000,0,0,0,0
ddia,22,openai,3,unsupported,0,0.9000,1,0,0,0
attention,23,openai,3,unsupported,0,0.9000,1,0,0,0
attention,24,openai,3,supported,1,1.0000,0,0,0,0
